match_id,date,time,home_team,away_team,arena,home_goals,away_goals,status,round,season
SHL_682705d8d745973fbe09bcb9,2025-11-29,14:15,Brynäs IF,HV71,Monitor ERP Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcb7,2025-11-29,14:15,Malmö Redhawks,Djurgårdens IF,Malmö Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcb8,2025-11-29,14:15,Skellefteå AIK,Leksands IF,Skellefteå Kraft Arena,,,Scheduled,13,2024-2025
SHL_68276130d745973fdd6d7b0c,2025-11-29,14:15,Linköping HC,Frölunda HC,Saab Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcba,2025-11-29,17:00,Växjö Lakers,Färjestad BK,Vida Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcbb,2025-11-29,17:00,Örebro Hockey,Rögle BK,Behrn Arena,,,Scheduled,13,2024-2025
SHL_68276130d745973fdd6d7b0d,2025-11-29,17:00,Timrå IK,Luleå Hockey,SCA Arena,,,Scheduled,13,2024-2025
SHL_682705d8d745973fbe09bcbc,2025-12-04,18:00,Rögle BK,Timrå IK,Catena Arena,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb09,2025-12-04,18:00,Örebro Hockey,Färjestad BK,Behrn Arena,,,Scheduled,14,2024-2025
SHL_682705d8d745973fbe09bcbd,2025-12-04,18:00,Frölunda HC,Djurgårdens IF,Scandinavium,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb0a,2025-12-04,18:00,HV71,Skellefteå AIK,Husqvarna Garden,,,Scheduled,14,2024-2025
SHL_68276130d745973fdd6d7b0e,2025-12-04,18:00,Luleå Hockey,Växjö Lakers,Coop Norrbotten Arena,,,Scheduled,14,2024-2025
SHL_68276130d745973fdd6d7b0f,2025-12-04,18:00,Malmö Redhawks,Linköping HC,Malmö Arena,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb0b,2025-12-04,18:00,Leksands IF,Brynäs IF,Tegera Arena,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb0f,2025-12-06,17:00,Djurgårdens IF,Timrå IK,Hovet,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb0c,2025-12-06,14:15,Frölunda HC,Brynäs IF,Scandinavium,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb0d,2025-12-06,14:15,Skellefteå AIK,Växjö Lakers,Skellefteå Kraft Arena,,,Scheduled,14,2024-2025
SHL_68276130d745973fdd6d7b10,2025-12-06,17:00,Rögle BK,Linköping HC,Catena Arena,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb0e,2025-12-06,14:15,HV71,Malmö Redhawks,Husqvarna Garden,,,Scheduled,14,2024-2025
SHL_682705d8d745973fbe09bcbe,2025-12-06,17:00,Örebro Hockey,Leksands IF,Behrn Arena,,,Scheduled,14,2024-2025
SHL_68276130d745973fdd6d7b11,2025-12-06,17:00,Luleå Hockey,Färjestad BK,Coop Norrbotten Arena,,,Scheduled,14,2024-2025
SHL_682705d8d745973fd97dcb11,2025-12-18,18:00,Rögle BK,Brynäs IF,Catena Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fd97dcb10,2025-12-18,18:00,Frölunda HC,HV71,Scandinavium,,,Scheduled,16,2024-2025
SHL_682705d8d745973fbe09bcbf,2025-12-18,18:00,Leksands IF,Malmö Redhawks,Tegera Arena,,,Scheduled,16,2024-2025
SHL_68276130d745973fdd6d7b12,2025-12-18,18:00,Växjö Lakers,Luleå Hockey,Vida Arena,,,Scheduled,16,2024-2025
SHL_68276130d745973fdd6d7b13,2025-12-18,18:00,Linköping HC,Djurgårdens IF,Saab Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fbe09bcc0,2025-12-18,18:00,Färjestad BK,Örebro Hockey,Löfbergs Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fbe09bcc1,2025-12-18,18:00,Timrå IK,Skellefteå AIK,SCA Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fd97dcb12,2025-12-20,14:15,Färjestad BK,Rögle BK,Löfbergs Arena,,,Scheduled,16,2024-2025
SHL_68276130d745973fdd6d7b14,2025-12-20,14:15,Malmö Redhawks,Luleå Hockey,Malmö Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fbe09bcc2,2025-12-20,14:15,Brynäs IF,Frölunda HC,Monitor ERP Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fbe09bcc3,2025-12-20,17:00,Växjö Lakers,Timrå IK,Vida Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fd97dcb13,2025-12-20,17:00,HV71,Djurgårdens IF,Husqvarna Garden,,,Scheduled,16,2024-2025
SHL_682705d8d745973fd97dcb14,2025-12-20,17:00,Örebro Hockey,Leksands IF,Behrn Arena,,,Scheduled,16,2024-2025
SHL_68276130d745973fdd6d7b15,2025-12-20,17:00,Skellefteå AIK,Linköping HC,Skellefteå Kraft Arena,,,Scheduled,16,2024-2025
SHL_682705d8d745973fd97dcb15,2025-12-26,14:15,Växjö Lakers,Malmö Redhawks,Vida Arena,,,Scheduled,17,2024-2025
SHL_68276130d745973fdd6d7b16,2025-12-26,14:15,Färjestad BK,Linköping HC,Löfbergs Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745973fd97dcb16,2025-12-26,14:15,Örebro Hockey,HV71,Behrn Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745973fbe09bcc4,2025-12-26,17:00,Timrå IK,Brynäs IF,SCA Arena,,,Scheduled,17,2024-2025
SHL_68276130d745979950408cd5,2025-12-26,17:00,Luleå Hockey,Skellefteå AIK,Coop Norrbotten Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745973fbe09bcc5,2025-12-26,17:00,Djurgårdens IF,Leksands IF,Avicii Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745973fbe09bcc6,2025-12-26,17:00,Rögle BK,Frölunda HC,Catena Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745973fd97dcb18,2025-12-28,14:15,Rögle BK,HV71,Catena Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745973fd97dcb19,2025-12-28,14:15,Malmö Redhawks,Frölunda HC,Malmö Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745979957144e30,2025-12-28,14:15,Leksands IF,Färjestad BK,Tegera Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745979957144e31,2025-12-28,17:00,Skellefteå AIK,Djurgårdens IF,Skellefteå Kraft Arena,,,Scheduled,17,2024-2025
SHL_682705d8d745973fd97dcb17,2025-12-28,17:00,Brynäs IF,Örebro Hockey,Monitor ERP Arena,,,Scheduled,17,2024-2025
SHL_68276130d745979950408cd6,2025-12-28,17:00,Linköping HC,Växjö Lakers,Saab Arena,,,Scheduled,17,2024-2025
SHL_68276130d745979950408cd7,2025-12-28,17:00,Luleå Hockey,Timrå IK,Coop Norrbotten Arena,,,Scheduled,17,2024-2025
SHL_682705d9d745973fbe09bcc7,2025-12-30,18:00,Frölunda HC,Färjestad BK,Scandinavium,,,Scheduled,18,2024-2025
SHL_682705d8d745973fd97dcb1a,2025-12-30,18:00,Timrå IK,Leksands IF,SCA Arena,,,Scheduled,18,2024-2025
SHL_682705d9d745979957144e32,2025-12-30,18:00,Växjö Lakers,Rögle BK,Vida Arena,,,Scheduled,18,2024-2025
SHL_682705d9d745973fbe09bcc8,2025-12-30,18:00,Skellefteå AIK,Brynäs IF,Skellefteå Kraft Arena,,,Scheduled,18,2024-2025
SHL_68276131d745979950408cd8,2025-12-30,18:00,Djurgårdens IF,Luleå Hockey,Avicii Arena,,,Scheduled,18,2024-2025
SHL_68276131d745979950408cd9,2025-12-30,18:00,Linköping HC,Örebro Hockey,Saab Arena,,,Scheduled,18,2024-2025
SHL_682705d9d745973fbe09bcc9,2025-12-30,18:00,HV71,Malmö Redhawks,Husqvarna Garden,,,Scheduled,18,2024-2025
SHL_682705d9d745973fbe09bcca,2026-01-03,14:15,Färjestad BK,Skellefteå AIK,Löfbergs Arena,,,Scheduled,18,2024-2025
SHL_682705d9d745973fd97dcb1c,2026-01-03,14:15,Leksands IF,HV71,Tegera Arena,,,Scheduled,18,2024-2025
SHL_682705d9d745973fd97dcb1b,2026-01-03,14:15,Örebro Hockey,Rögle BK,Behrn Arena,,,Scheduled,18,2024-2025
SHL_682705d9d745973fd97dcb1d,2026-01-03,14:15,Växjö Lakers,Frölunda HC,Vida Arena,,,Scheduled,18,2024-2025
SHL_68276131d745973fdd6d7b17,2026-01-03,17:00,Malmö Redhawks,Linköping HC,Malmö Arena,,,Scheduled,18,2024-2025
SHL_68276131d745979950408cda,2026-01-03,17:00,Brynäs IF,Luleå Hockey,Monitor ERP Arena,,,Scheduled,18,2024-2025
SHL_682705d9d745973fbe09bccb,2026-01-03,17:00,Timrå IK,Djurgårdens IF,SCA Arena,,,Scheduled,18,2024-2025
SHL_68276131d745973fdd6d7b18,2026-01-06,14:15,Linköping HC,Frölunda HC,Saab Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745979957144e33,2026-01-06,14:15,Malmö Redhawks,Färjestad BK,Malmö Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fd97dcb1e,2026-01-06,14:15,Timrå IK,Örebro Hockey,SCA Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fd97dcb1f,2026-01-06,17:00,Brynäs IF,Växjö Lakers,Monitor ERP Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fbe09bccc,2026-01-06,17:00,Djurgårdens IF,Rögle BK,Hovet,,,Scheduled,19,2024-2025
SHL_682705d9d745973fd97dcb20,2026-01-06,17:00,Leksands IF,Skellefteå AIK,Tegera Arena,,,Scheduled,19,2024-2025
SHL_68276131d745979950408cdb,2026-01-06,17:00,Luleå Hockey,HV71,Coop Norrbotten Arena,,,Scheduled,19,2024-2025
SHL_68276131d745973fdd6d7b19,2026-01-08,18:00,Frölunda HC,Luleå Hockey,Scandinavium,,,Scheduled,19,2024-2025
SHL_682705d9d745973fbe09bccd,2026-01-08,18:00,Djurgårdens IF,Örebro Hockey,Hovet,,,Scheduled,19,2024-2025
SHL_682705d9d745973fbe09bcce,2026-01-08,18:00,Timrå IK,Rögle BK,SCA Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fbe09bccf,2026-01-08,18:00,Skellefteå AIK,HV71,Skellefteå Kraft Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fbe09bcd0,2026-01-08,18:00,Malmö Redhawks,Brynäs IF,Malmö Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fbe09bcd1,2026-01-08,18:00,Växjö Lakers,Färjestad BK,Vida Arena,,,Scheduled,19,2024-2025
SHL_68276131d745979950408cdc,2026-01-08,18:00,Leksands IF,Linköping HC,Tegera Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fd97dcb21,2026-01-10,14:15,Skellefteå AIK,Växjö Lakers,Skellefteå Kraft Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fd97dcb23,2026-01-10,14:15,Färjestad BK,Djurgårdens IF,Löfbergs Arena,,,Scheduled,19,2024-2025
SHL_68276131d745973fdd6d7b1a,2026-01-10,14:15,Brynäs IF,Linköping HC,Monitor ERP Arena,,,Scheduled,19,2024-2025
SHL_68276131d745973fdd6d7b1b,2026-01-10,17:00,Rögle BK,Luleå Hockey,Catena Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745979957144e34,2026-01-10,17:00,HV71,Timrå IK,Husqvarna Garden,,,Scheduled,19,2024-2025
SHL_682705d9d745979957144e35,2026-01-10,17:00,Örebro Hockey,Malmö Redhawks,Behrn Arena,,,Scheduled,19,2024-2025
SHL_682705d9d745973fd97dcb22,2026-01-10,14:15,Frölunda HC,Leksands IF,Scandinavium,,,Scheduled,19,2024-2025
SHL_682705d9d745979957144e36,2026-01-15,18:00,Leksands IF,Brynäs IF,Tegera Arena,,,Scheduled,20,2024-2025
SHL_68276131d745973fdd6d7b1c,2026-01-15,18:00,Linköping HC,Rögle BK,Saab Arena,,,Scheduled,20,2024-2025
SHL_682705d9d745979957144e37,2026-01-15,18:00,HV71,Färjestad BK,Husqvarna Garden,,,Scheduled,20,2024-2025
SHL_68276131d745973fdd6d7b1d,2026-01-15,18:00,Luleå Hockey,Örebro Hockey,Coop Norrbotten Arena,,,Scheduled,20,2024-2025
SHL_682705d9d745979957144e39,2026-01-15,18:00,Djurgårdens IF,Växjö Lakers,Hovet,,,Scheduled,20,2024-2025
SHL_682705d9d745979957144e38,2026-01-15,18:00,Skellefteå AIK,Malmö Redhawks,Skellefteå Kraft Arena,,,Scheduled,20,2024-2025
SHL_682705d9d745973fdd6d6ff9,2026-01-15,18:00,Timrå IK,Frölunda HC,SCA Arena,,,Scheduled,20,2024-2025
SHL_682705d9d745979957144e3c,2026-01-17,17:00,Rögle BK,Malmö Redhawks,Catena Arena,,,Scheduled,20,2024-2025
